  year         rainyr         epanyr          paryr          radyr           vdyr           etyr        esoilyr       netassyr          gppyr
  1971   0.187667E+04   0.000000E+00   0.148130E+05   0.712025E+04   0.419036E+01   0.113690E+04   0.239637E+03   0.116875E+03   0.281838E+03
  1972   0.133536E+04   0.000000E+00   0.159059E+05   0.764559E+04   0.434509E+01   0.108908E+04   0.173901E+03   0.107887E+03   0.270965E+03
  1973   0.189539E+04   0.000000E+00   0.153380E+05   0.737264E+04   0.446507E+01   0.100080E+04   0.186494E+03   0.968683E+02   0.243403E+03
  1974   0.217957E+04   0.000000E+00   0.151339E+05   0.727451E+04   0.384681E+01   0.105378E+04   0.207542E+03   0.114727E+03   0.271696E+03
  1975   0.171706E+04   0.000000E+00   0.148548E+05   0.714037E+04   0.416410E+01   0.114052E+04   0.205264E+03   0.116024E+03   0.281089E+03
  1976   0.169083E+04   0.000000E+00   0.154204E+05   0.741223E+04   0.407391E+01   0.973319E+03   0.175922E+03   0.947282E+02   0.252278E+03
  1977   0.169802E+04   0.000000E+00   0.152777E+05   0.734366E+04   0.376340E+01   0.956047E+03   0.187069E+03   0.102461E+03   0.254339E+03
  1978   0.119493E+04   0.000000E+00   0.148932E+05   0.715880E+04   0.446963E+01   0.107192E+04   0.174104E+03   0.107673E+03   0.263276E+03
  1979   0.136219E+04   0.000000E+00   0.154779E+05   0.743987E+04   0.450522E+01   0.974894E+03   0.173359E+03   0.917796E+02   0.241045E+03
  1980   0.178751E+04   0.000000E+00   0.155590E+05   0.747884E+04   0.436068E+01   0.102819E+04   0.183946E+03   0.103353E+03   0.256692E+03
  1981   0.167550E+04   0.000000E+00   0.152467E+05   0.732874E+04   0.459862E+01   0.101858E+04   0.192681E+03   0.972141E+02   0.247250E+03
  1982   0.123369E+04   0.000000E+00   0.161325E+05   0.775450E+04   0.395496E+01   0.970113E+03   0.169567E+03   0.983118E+02   0.251385E+03
  1983   0.125702E+04   0.000000E+00   0.157172E+05   0.755491E+04   0.443484E+01   0.106059E+04   0.153439E+03   0.113355E+03   0.269261E+03
  1984   0.190596E+04   0.000000E+00   0.153420E+05   0.737454E+04   0.406959E+01   0.103870E+04   0.191219E+03   0.107539E+03   0.274672E+03
  1985   0.154652E+04   0.000000E+00   0.152987E+05   0.735373E+04   0.396569E+01   0.103416E+04   0.185768E+03   0.100500E+03   0.261898E+03
  1986   0.138032E+04   0.000000E+00   0.153729E+05   0.738940E+04   0.445977E+01   0.112994E+04   0.188507E+03   0.110091E+03   0.264340E+03
  1987   0.148739E+04   0.000000E+00   0.159471E+05   0.766538E+04   0.434876E+01   0.101076E+04   0.162943E+03   0.990083E+02   0.254647E+03
  1988   0.131702E+04   0.000000E+00   0.154600E+05   0.743126E+04   0.436628E+01   0.113710E+04   0.182558E+03   0.113233E+03   0.280341E+03
  1989   0.157124E+04   0.000000E+00   0.155635E+05   0.748101E+04   0.402442E+01   0.118890E+04   0.192457E+03   0.123454E+03   0.295585E+03
  1990   0.123638E+04   0.000000E+00   0.159583E+05   0.767081E+04   0.423029E+01   0.106081E+04   0.165198E+03   0.101039E+03   0.274031E+03
  1991   0.145541E+04   0.000000E+00   0.160846E+05   0.773151E+04   0.410553E+01   0.952656E+03   0.164164E+03   0.963318E+02   0.241266E+03
  1992   0.129147E+04   0.000000E+00   0.158410E+05   0.761440E+04   0.443609E+01   0.106222E+04   0.167981E+03   0.105219E+03   0.264161E+03
  1993   0.148392E+04   0.000000E+00   0.158667E+05   0.762673E+04   0.447872E+01   0.998657E+03   0.169885E+03   0.930045E+02   0.250637E+03
  1994   0.133137E+04   0.000000E+00   0.161766E+05   0.777571E+04   0.396176E+01   0.960904E+03   0.183020E+03   0.963654E+02   0.240778E+03
  1995   0.184629E+04   0.000000E+00   0.156204E+05   0.750838E+04   0.412043E+01   0.105482E+04   0.201261E+03   0.107199E+03   0.262271E+03
  1996   0.147478E+04   0.000000E+00   0.160114E+05   0.769630E+04   0.435161E+01   0.112776E+04   0.174271E+03   0.110225E+03   0.269633E+03
  1997   0.181043E+04   0.000000E+00   0.159667E+05   0.767482E+04   0.413955E+01   0.942631E+03   0.179771E+03   0.885313E+02   0.237427E+03
  1998   0.201537E+04   0.000000E+00   0.157789E+05   0.758456E+04   0.466059E+01   0.110225E+04   0.201514E+03   0.995839E+02   0.247752E+03
  1999   0.166190E+04   0.000000E+00   0.155991E+05   0.749810E+04   0.396150E+01   0.109253E+04   0.197560E+03   0.109368E+03   0.269805E+03
  2000   0.176664E+04   0.000000E+00   0.155463E+05   0.747276E+04   0.106269E-01   0.112276E+04   0.200873E+03   0.120228E+03   0.284958E+03
