 fyear fmonth   fday   nday  nhour           rain           tair            par             vd          esoil             pc        jmax25t        jmax25g            mqt             rl        lambdat        lambdag             rr           asst           assg           etmt           etmg           su_1             zw             ws         spgfcf           infx
  2000      1      1  10586      1    0.31597E-07    0.25797E+02    0.00000E+00    0.55216E-03    0.00000E+00    0.10000E+01    0.35947E-03    0.39238E-03    0.22282E+04    0.45695E-05    0.10523E+04    0.19317E+04    0.99196E-07   -0.32680E-02   -0.13182E-01    0.00000E+00    0.00000E+00    0.48668E+00    0.10255E+02    0.48074E+01    0.14650E-04    0.00000E+00
  2000      1      1  10586      2    0.31597E-07    0.25331E+02    0.00000E+00    0.00000E+00    0.00000E+00    0.10000E+01    0.35947E-03    0.39238E-03    0.22282E+04    0.44987E-05    0.10523E+04    0.19317E+04    0.99196E-07   -0.32174E-02   -0.12978E-01    0.00000E+00    0.00000E+00    0.48624E+00    0.10255E+02    0.48075E+01    0.14646E-04    0.00000E+00
  2000      1      1  10586      3    0.31597E-07    0.24903E+02    0.00000E+00    0.00000E+00    0.00000E+00    0.10000E+01    0.35947E-03    0.39238E-03    0.22282E+04    0.44313E-05    0.10523E+04    0.19317E+04    0.99196E-07   -0.31691E-02   -0.12783E-01    0.00000E+00    0.00000E+00    0.48527E+00    0.10255E+02    0.48076E+01    0.14641E-04    0.00000E+00
  2000      1      1  10586      4    0.31597E-07    0.24490E+02    0.00000E+00    0.00000E+00    0.00000E+00    0.10000E+01    0.35947E-03    0.39238E-03    0.22282E+04    0.43645E-05    0.10523E+04    0.19317E+04    0.99196E-07   -0.31214E-02   -0.12591E-01    0.00000E+00    0.00000E+00    0.48431E+00    0.10255E+02    0.48077E+01    0.14636E-04    0.00000E+00
  2000      1      1  10586      5    0.31597E-07    0.24162E+02    0.00000E+00    0.00000E+00    0.00000E+00    0.10000E+01    0.35947E-03    0.39238E-03    0.22282E+04    0.43103E-05    0.10523E+04    0.19317E+04    0.99196E-07   -0.30826E-02   -0.12435E-01    0.00000E+00    0.00000E+00    0.48338E+00    0.10255E+02    0.48078E+01    0.14632E-04    0.00000E+00
  2000      1      1  10586      6    0.31597E-07    0.24113E+02    0.00000E+00    0.00000E+00    0.00000E+00    0.10000E+01    0.35947E-03    0.39238E-03    0.22282E+04    0.43023E-05    0.10523E+04    0.19317E+04    0.99196E-07   -0.30769E-02   -0.12411E-01    0.00000E+00    0.00000E+00    0.48245E+00    0.10255E+02    0.48079E+01    0.14627E-04    0.00000E+00
  2000      1      1  10586      7    0.31597E-07    0.24577E+02    0.30925E-03    0.00000E+00    0.21444E-04    0.10000E+01    0.35947E-03    0.39238E-03    0.22282E+04    0.43787E-05    0.10523E+04    0.19317E+04    0.99196E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.48154E+00    0.10255E+02    0.48080E+01    0.14622E-04    0.00000E+00
  2000      1      1  10586      8    0.31597E-07    0.25652E+02    0.76181E-03    0.26813E-03    0.52678E-04    0.10000E+01    0.35947E-03    0.39238E-03    0.22237E+04    0.45478E-05    0.10523E+04    0.19317E+04    0.99196E-07    0.19151E-01    0.72045E-01    0.81996E-05    0.41575E-04    0.47979E+00    0.10255E+02    0.48081E+01    0.14616E-04    0.00000E+00
  2000      1      1  10586      9    0.31597E-07    0.27196E+02    0.11504E-02    0.34058E-02    0.79296E-04    0.10000E+01    0.35947E-03    0.39238E-03    0.22053E+04    0.47605E-05    0.10523E+04    0.19317E+04    0.99196E-07    0.24546E-01    0.94982E-01    0.41855E-04    0.21324E-03    0.47802E+00    0.10255E+02    0.48081E+01    0.14611E-04    0.00000E+00
  2000      1      1  10586     10    0.31597E-07    0.28893E+02    0.14486E-02    0.71494E-02    0.99362E-04    0.10000E+01    0.35947E-03    0.39238E-03    0.21888E+04    0.49238E-05    0.10523E+04    0.19317E+04    0.99196E-07    0.27119E-01    0.10694E+00    0.72304E-04    0.37185E-03    0.47546E+00    0.10255E+02    0.48079E+01    0.14606E-04    0.00000E+00
  2000      1      1  10586     11    0.31597E-07    0.30426E+02    0.16361E-02    0.10817E-01    0.11150E-03    0.10000E+01    0.35947E-03    0.39238E-03    0.21759E+04    0.49709E-05    0.10523E+04    0.19317E+04    0.99196E-07    0.27694E-01    0.11083E+00    0.96142E-04    0.49945E-03    0.47226E+00    0.10255E+02    0.48075E+01    0.14601E-04    0.00000E+00
  2000      1      1  10586     12    0.31597E-07    0.31635E+02    0.17000E-02    0.13914E-01    0.11501E-03    0.10000E+01    0.35947E-03    0.39238E-03    0.21682E+04    0.49148E-05    0.10523E+04    0.19317E+04    0.99196E-07    0.26904E-01    0.10718E+00    0.11030E-03    0.52552E-03    0.46874E+00    0.10255E+02    0.48069E+01    0.14596E-04    0.00000E+00
  2000      1      1  10586     13    0.31597E-07    0.32520E+02    0.16361E-02    0.16302E-01    0.10984E-03    0.10000E+01    0.35947E-03    0.39238E-03    0.21658E+04    0.48110E-05    0.10523E+04    0.19317E+04    0.99196E-07    0.25126E-01    0.99692E-01    0.11473E-03    0.52539E-03    0.46519E+00    0.10255E+02    0.48062E+01    0.14591E-04    0.00000E+00
  2000      1      1  10586     14    0.31597E-07    0.33121E+02    0.14486E-02    0.17981E-01    0.96531E-04    0.10000E+01    0.35947E-03    0.39238E-03    0.21685E+04    0.47077E-05    0.10523E+04    0.19317E+04    0.99196E-07    0.22449E-01    0.89814E-01    0.10992E-03    0.52525E-03    0.46174E+00    0.10255E+02    0.48056E+01    0.14587E-04    0.00000E+00
  2000      1      1  10586     15    0.31597E-07    0.33393E+02    0.11504E-02    0.18759E-01    0.76109E-04    0.10000E+01    0.35947E-03    0.39238E-03    0.21766E+04    0.46519E-05    0.10523E+04    0.19317E+04    0.99196E-07    0.18712E-01    0.75955E-01    0.94991E-04    0.49962E-03    0.45850E+00    0.10255E+02    0.48049E+01    0.14582E-04    0.00000E+00
  2000      1      1  10586     16    0.31597E-07    0.33223E+02    0.76179E-03    0.18272E-01    0.50078E-04    0.10000E+01    0.35947E-03    0.39238E-03    0.21915E+04    0.46874E-05    0.10523E+04    0.19317E+04    0.99196E-07    0.13293E-01    0.53201E-01    0.67566E-04    0.35164E-03    0.45581E+00    0.10255E+02    0.48044E+01    0.14577E-04    0.00000E+00
  2000      1      1  10586     17    0.31597E-07    0.32548E+02    0.00000E+00    0.16379E-01    0.00000E+00    0.10000E+01    0.35947E-03    0.39238E-03    0.22281E+04    0.48068E-05    0.10523E+04    0.19317E+04    0.99196E-07   -0.34377E-02   -0.13867E-01    0.00000E+00    0.00000E+00    0.45440E+00    0.10255E+02    0.48040E+01    0.14572E-04    0.00000E+00
  2000      1      1  10586     18    0.31597E-07    0.31470E+02    0.00000E+00    0.13479E-01    0.00000E+00    0.10000E+01    0.35947E-03    0.39238E-03    0.22281E+04    0.49281E-05    0.10523E+04    0.19317E+04    0.99196E-07   -0.35244E-02   -0.14217E-01    0.00000E+00    0.00000E+00    0.45416E+00    0.10255E+02    0.48040E+01    0.14568E-04    0.00000E+00
  2000      1      1  10586     19    0.31597E-07    0.30237E+02    0.00000E+00    0.10348E-01    0.00000E+00    0.10000E+01    0.35947E-03    0.39238E-03    0.22281E+04    0.49716E-05    0.10523E+04    0.19317E+04    0.99196E-07   -0.35555E-02   -0.14342E-01    0.00000E+00    0.00000E+00    0.45363E+00    0.10255E+02    0.48041E+01    0.14564E-04    0.00000E+00
  2000      1      1  10586     20    0.31597E-07    0.29107E+02    0.00000E+00    0.76442E-02    0.00000E+00    0.10000E+01    0.35947E-03    0.39238E-03    0.22281E+04    0.49370E-05    0.10523E+04    0.19317E+04    0.99196E-07   -0.35308E-02   -0.14242E-01    0.00000E+00    0.00000E+00    0.45312E+00    0.10255E+02    0.48042E+01    0.14559E-04    0.00000E+00
  2000      1      1  10586     21    0.31597E-07    0.28207E+02    0.00000E+00    0.55956E-02    0.00000E+00    0.10000E+01    0.35947E-03    0.39238E-03    0.22281E+04    0.48692E-05    0.10523E+04    0.19317E+04    0.99196E-07   -0.34823E-02   -0.14047E-01    0.00000E+00    0.00000E+00    0.45261E+00    0.10255E+02    0.48043E+01    0.14554E-04    0.00000E+00
  2000      1      1  10586     22    0.31597E-07    0.27502E+02    0.00000E+00    0.40563E-02    0.00000E+00    0.10000E+01    0.35947E-03    0.39238E-03    0.22281E+04    0.47965E-05    0.10523E+04    0.19317E+04    0.99196E-07   -0.34303E-02   -0.13837E-01    0.00000E+00    0.00000E+00    0.45210E+00    0.10255E+02    0.48044E+01    0.14549E-04    0.00000E+00
  2000      1      1  10586     23    0.31597E-07    0.26893E+02    0.00000E+00    0.27706E-02    0.00000E+00    0.10000E+01    0.35947E-03    0.39238E-03    0.22281E+04    0.47226E-05    0.10523E+04    0.19317E+04    0.99196E-07   -0.33775E-02   -0.13624E-01    0.00000E+00    0.00000E+00    0.45160E+00    0.10255E+02    0.48045E+01    0.14544E-04    0.00000E+00
  2000      1      1  10586     24    0.31597E-07    0.26323E+02    0.00000E+00    0.16004E-02    0.00000E+00    0.10000E+01    0.35947E-03    0.39238E-03    0.22281E+04    0.46457E-05    0.10523E+04    0.19317E+04    0.99196E-07   -0.33225E-02   -0.13402E-01    0.00000E+00    0.00000E+00    0.45111E+00    0.10255E+02    0.48046E+01    0.14539E-04    0.00000E+00
  2000      1      2  10587      1    0.00000E+00    0.25804E+02    0.00000E+00    0.44526E-03    0.00000E+00    0.10000E+01    0.36306E-03    0.39630E-03    0.22281E+04    0.46163E-05    0.10555E+04    0.18098E+04    0.99130E-07   -0.33015E-02   -0.13317E-01    0.00000E+00    0.00000E+00    0.45000E+00    0.10254E+02    0.48047E+01    0.14533E-04    0.00000E+00
  2000      1      2  10587      2    0.00000E+00    0.25347E+02    0.00000E+00    0.00000E+00    0.00000E+00    0.10000E+01    0.36306E-03    0.39630E-03    0.22281E+04    0.45463E-05    0.10555E+04    0.18098E+04    0.99130E-07   -0.32514E-02   -0.13115E-01    0.00000E+00    0.00000E+00    0.44948E+00    0.10254E+02    0.48047E+01    0.14530E-04    0.00000E+00
  2000      1      2  10587      3    0.00000E+00    0.24928E+02    0.00000E+00    0.00000E+00    0.00000E+00    0.10000E+01    0.36306E-03    0.39630E-03    0.22281E+04    0.44796E-05    0.10555E+04    0.18098E+04    0.99130E-07   -0.32037E-02   -0.12923E-01    0.00000E+00    0.00000E+00    0.44835E+00    0.10254E+02    0.48047E+01    0.14525E-04    0.00000E+00
  2000      1      2  10587      4    0.00000E+00    0.24524E+02    0.00000E+00    0.00000E+00    0.00000E+00    0.10000E+01    0.36306E-03    0.39630E-03    0.22281E+04    0.44136E-05    0.10555E+04    0.18098E+04    0.99130E-07   -0.31565E-02   -0.12733E-01    0.00000E+00    0.00000E+00    0.44723E+00    0.10254E+02    0.48047E+01    0.14520E-04    0.00000E+00
  2000      1      2  10587      5    0.00000E+00    0.24201E+02    0.00000E+00    0.00000E+00    0.00000E+00    0.10000E+01    0.36306E-03    0.39630E-03    0.22281E+04    0.43601E-05    0.10555E+04    0.18098E+04    0.99130E-07   -0.31182E-02   -0.12578E-01    0.00000E+00    0.00000E+00    0.44612E+00    0.10254E+02    0.48047E+01    0.14515E-04    0.00000E+00
  2000      1      2  10587      6    0.00000E+00    0.24154E+02    0.00000E+00    0.00000E+00    0.00000E+00    0.10000E+01    0.36306E-03    0.39630E-03    0.22281E+04    0.43522E-05    0.10555E+04    0.18098E+04    0.99130E-07   -0.31126E-02   -0.12555E-01    0.00000E+00    0.00000E+00    0.44502E+00    0.10254E+02    0.48047E+01    0.14510E-04    0.00000E+00
  2000      1      2  10587      7    0.00000E+00    0.24609E+02    0.28467E-03    0.00000E+00    0.18198E-04    0.10000E+01    0.36306E-03    0.39630E-03    0.22281E+04    0.44276E-05    0.10555E+04    0.18098E+04    0.99130E-07    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.44394E+00    0.10254E+02    0.48046E+01    0.14506E-04    0.00000E+00
  2000      1      2  10587      8    0.00000E+00    0.25662E+02    0.70032E-03    0.16734E-03    0.44614E-04    0.10000E+01    0.36306E-03    0.39630E-03    0.22249E+04    0.45948E-05    0.10555E+04    0.18098E+04    0.99130E-07    0.17914E-01    0.67064E-01    0.60532E-05    0.29629E-04    0.44199E+00    0.10254E+02    0.48046E+01    0.14500E-04    0.00000E+00
  2000      1      2  10587      9    0.00000E+00    0.27176E+02    0.10572E-02    0.32351E-02    0.67107E-04    0.10000E+01    0.36306E-03    0.39630E-03    0.22075E+04    0.48056E-05    0.10555E+04    0.18098E+04    0.99130E-07    0.23192E-01    0.89205E-01    0.38595E-04    0.18972E-03    0.44017E+00    0.10254E+02    0.48045E+01    0.14495E-04    0.00000E+00
  2000      1      2  10587     10    0.00000E+00    0.28839E+02    0.13311E-02    0.68894E-02    0.84040E-04    0.10000E+01    0.36306E-03    0.39630E-03    0.21921E+04    0.49693E-05    0.10555E+04    0.18098E+04    0.99130E-07    0.25804E-01    0.10100E+00    0.67551E-04    0.33495E-03    0.43763E+00    0.10254E+02    0.48042E+01    0.14490E-04    0.00000E+00
  2000      1      2  10587     11    0.00000E+00    0.30341E+02    0.15033E-02    0.10464E-01    0.94263E-04    0.10000E+01    0.36306E-03    0.39630E-03    0.21800E+04    0.50211E-05    0.10555E+04    0.18098E+04    0.99130E-07    0.26472E-01    0.10500E+00    0.90340E-04    0.45200E-03    0.43449E+00    0.10254E+02    0.48037E+01    0.14485E-04    0.00000E+00
  2000      1      2  10587     12    0.00000E+00    0.31525E+02    0.15620E-02    0.13478E-01    0.97169E-04    0.10000E+01    0.36306E-03    0.39630E-03    0.21727E+04    0.49731E-05    0.10555E+04    0.18098E+04    0.99130E-07    0.25785E-01    0.10326E+00    0.10394E-03    0.52397E-03    0.43096E+00    0.10254E+02    0.48031E+01    0.14480E-04    0.00000E+00
  2000      1      2  10587     13    0.00000E+00    0.32393E+02    0.15033E-02    0.15800E-01    0.92720E-04    0.10000E+01    0.36306E-03    0.39630E-03    0.21705E+04    0.48777E-05    0.10555E+04    0.18098E+04    0.99130E-07    0.24082E-01    0.96973E-01    0.10814E-03    0.54778E-03    0.42727E+00    0.10254E+02    0.48024E+01    0.14475E-04    0.00000E+00
  2000      1      2  10587     14    0.00000E+00    0.32982E+02    0.13311E-02    0.17431E-01    0.81398E-04    0.10000E+01    0.36306E-03    0.39630E-03    0.21731E+04    0.47814E-05    0.10555E+04    0.18098E+04    0.99130E-07    0.21442E-01    0.86434E-01    0.10329E-03    0.52381E-03    0.42365E+00    0.10254E+02    0.48016E+01    0.14471E-04    0.00000E+00
