 nyear            rain             par            srad              vd           esoil            etmt            etmg            assg             rlg             rrg           cpccg             tcg            etmt            asst             rlt             rrt           cpcct             tct
  1971    0.187726E+04    0.148138E+05    0.712065E+04    0.114805E-01    0.217599E+03    0.910197E+03    0.611420E+03    0.120819E+03    0.626565E+02    0.601089E+01    0.194912E+02    0.893347E+01    0.298777E+03    0.550506E+02    0.264340E+02    0.175894E+01    0.249515E+02    0.369399E+01
  1972    0.133593E+04    0.159070E+05    0.764612E+04    0.119044E-01    0.151402E+03    0.814143E+03    0.518172E+03    0.106185E+03    0.567769E+02    0.705599E+01    0.179862E+02    0.824368E+01    0.295971E+03    0.556559E+02    0.271161E+02    0.164239E+01    0.249515E+02    0.369399E+01
  1973    0.189567E+04    0.153372E+05    0.737223E+04    0.122330E-01    0.168240E+03    0.754228E+03    0.473690E+03    0.975265E+02    0.471397E+02    0.375941E+01    0.169244E+02    0.775702E+01    0.280538E+03    0.528868E+02    0.254763E+02    0.147085E+01    0.249515E+02    0.369399E+01
  1974    0.217925E+04    0.151329E+05    0.727404E+04    0.105391E-01    0.168069E+03    0.899947E+03    0.607228E+03    0.127741E+03    0.608012E+02    0.604335E+01    0.202470E+02    0.927990E+01    0.292719E+03    0.576157E+02    0.276208E+02    0.150165E+01    0.249515E+02    0.369399E+01
  1975    0.171729E+04    0.148542E+05    0.714005E+04    0.114085E-01    0.179136E+03    0.956180E+03    0.650691E+03    0.125833E+03    0.684810E+02    0.428098E+01    0.201035E+02    0.921411E+01    0.305489E+03    0.553274E+02    0.269564E+02    0.145890E+01    0.249515E+02    0.369399E+01
  1976    0.169037E+04    0.154211E+05    0.741258E+04    0.111616E-01    0.151522E+03    0.707577E+03    0.429661E+03    0.934646E+02    0.496372E+02    0.839828E+01    0.169644E+02    0.777536E+01    0.277916E+03    0.547293E+02    0.267482E+02    0.170748E+01    0.249515E+02    0.369399E+01
  1977    0.169804E+04    0.152778E+05    0.734367E+04    0.103104E-01    0.169420E+03    0.727684E+03    0.453893E+03    0.103240E+03    0.494588E+02    0.700251E+01    0.179020E+02    0.820510E+01    0.273792E+03    0.563152E+02    0.269700E+02    0.206546E+01    0.249515E+02    0.369399E+01
  1978    0.119472E+04    0.148933E+05    0.715884E+04    0.122456E-01    0.157207E+03    0.865201E+03    0.579475E+03    0.116428E+03    0.559658E+02    0.379521E+01    0.193118E+02    0.885124E+01    0.285726E+03    0.531087E+02    0.258441E+02    0.197809E+01    0.249515E+02    0.369399E+01
  1979    0.136177E+04    0.154768E+05    0.743935E+04    0.123430E-01    0.155478E+03    0.666080E+03    0.401919E+03    0.843058E+02    0.453917E+02    0.611018E+01    0.144611E+02    0.662800E+01    0.264161E+03    0.517008E+02    0.252120E+02    0.172250E+01    0.249515E+02    0.369399E+01
  1980    0.178793E+04    0.155584E+05    0.747856E+04    0.119469E-01    0.137955E+03    0.802116E+03    0.524377E+03    0.111162E+03    0.552426E+02    0.628436E+01    0.183159E+02    0.839479E+01    0.277739E+03    0.537363E+02    0.261187E+02    0.223722E+01    0.249515E+02    0.369399E+01
