  year          rainyr          epanyr           paryr           radyr            vdyr         esoilyr            etyr          assgyr           rlgyr           rrgyr         cpccgyr           tcgyr          asstyr           rltyr           rrtyr         cpcctyr            tcyr
  1971    0.187667E+04    0.000000E+00    0.148130E+05    0.712025E+04    0.114804E-01    0.218678E+03    0.914561E+03    0.118973E+03    0.610304E+02    0.547308E+01    0.192928E+02    0.884255E+01    0.567947E+02    0.272403E+02    0.186415E+01    0.256471E+02    0.380026E+01
  1972    0.133536E+04    0.000000E+00    0.159059E+05    0.764559E+04    0.119044E-01    0.151265E+03    0.826120E+03    0.105324E+03    0.564363E+02    0.744374E+01    0.179193E+02    0.821303E+01    0.572186E+02    0.277973E+02    0.177684E+01    0.256471E+02    0.380026E+01
  1973    0.189539E+04    0.000000E+00    0.153380E+05    0.737264E+04    0.122331E-01    0.167610E+03    0.767106E+03    0.968399E+02    0.467661E+02    0.375099E+01    0.168096E+02    0.770439E+01    0.543383E+02    0.261109E+02    0.157578E+01    0.256471E+02    0.380026E+01
  1974    0.217957E+04    0.000000E+00    0.151339E+05    0.727451E+04    0.105392E-01    0.169545E+03    0.910847E+03    0.125979E+03    0.598988E+02    0.473949E+01    0.197716E+02    0.906198E+01    0.593824E+02    0.284344E+02    0.160988E+01    0.256471E+02    0.380026E+01
  1975    0.171706E+04    0.000000E+00    0.148548E+05    0.714037E+04    0.114085E-01    0.179055E+03    0.966629E+03    0.124554E+03    0.672365E+02    0.390830E+01    0.199183E+02    0.912920E+01    0.570965E+02    0.278237E+02    0.155574E+01    0.256471E+02    0.380026E+01
  1976    0.169083E+04    0.000000E+00    0.154204E+05    0.741223E+04    0.111614E-01    0.151166E+03    0.718582E+03    0.923619E+02    0.489073E+02    0.690615E+01    0.167136E+02    0.766042E+01    0.562980E+02    0.274388E+02    0.180883E+01    0.256471E+02    0.380026E+01
  1977    0.169802E+04    0.000000E+00    0.152777E+05    0.734366E+04    0.103107E-01    0.168497E+03    0.750041E+03    0.103905E+03    0.506142E+02    0.658176E+01    0.176956E+02    0.811047E+01    0.577697E+02    0.276473E+02    0.221409E+01    0.256471E+02    0.380026E+01
  1978    0.119493E+04    0.000000E+00    0.148932E+05    0.715880E+04    0.122456E-01    0.158999E+03    0.879043E+03    0.115300E+03    0.571875E+02    0.354211E+01    0.190484E+02    0.873052E+01    0.545646E+02    0.265482E+02    0.216817E+01    0.256471E+02    0.380026E+01
  1979    0.136219E+04    0.000000E+00    0.154779E+05    0.743987E+04    0.123431E-01    0.157075E+03    0.673186E+03    0.829762E+02    0.444952E+02    0.543905E+01    0.142102E+02    0.651300E+01    0.530747E+02    0.258901E+02    0.181865E+01    0.256471E+02    0.380026E+01
  1980    0.178751E+04    0.000000E+00    0.155590E+05    0.747884E+04    0.119471E-01    0.143703E+03    0.801366E+03    0.107368E+03    0.525007E+02    0.471811E+01    0.175826E+02    0.805868E+01    0.554664E+02    0.269681E+02    0.241147E+01    0.256471E+02    0.380026E+01
  1981    0.167550E+04    0.000000E+00    0.152467E+05    0.732874E+04    0.125990E-01    0.163382E+03    0.791733E+03    0.100218E+03    0.503244E+02    0.456382E+01    0.167112E+02    0.765930E+01    0.544670E+02    0.262036E+02    0.193172E+01    0.256471E+02    0.380026E+01
  1982    0.123369E+04    0.000000E+00    0.161325E+05    0.775450E+04    0.108355E-01    0.139890E+03    0.711877E+03    0.922119E+02    0.470939E+02    0.791663E+01    0.161036E+02    0.738083E+01    0.579105E+02    0.282307E+02    0.197821E+01    0.256471E+02    0.380026E+01
  1983    0.125702E+04    0.000000E+00    0.157172E+05    0.755491E+04    0.121503E-01    0.131355E+03    0.887695E+03    0.121947E+03    0.585705E+02    0.464849E+01    0.203130E+02    0.931012E+01    0.580663E+02    0.276861E+02    0.175491E+01    0.256471E+02    0.380026E+01
  1984    0.190596E+04    0.000000E+00    0.153420E+05    0.737454E+04    0.111496E-01    0.147761E+03    0.792711E+03    0.110336E+03    0.605981E+02    0.901076E+01    0.196196E+02    0.899231E+01    0.553772E+02    0.268960E+02    0.229569E+01    0.256471E+02    0.380026E+01
  1985    0.154652E+04    0.000000E+00    0.152987E+05    0.735373E+04    0.108649E-01    0.170314E+03    0.790253E+03    0.988686E+02    0.531179E+02    0.775984E+01    0.164500E+02    0.753959E+01    0.561777E+02    0.274012E+02    0.182011E+01    0.256471E+02    0.380026E+01
  1986    0.138032E+04    0.000000E+00    0.153729E+05    0.738940E+04    0.122186E-01    0.149248E+03    0.995638E+03    0.125730E+03    0.642251E+02    0.801013E+01    0.204889E+02    0.939077E+01    0.576411E+02    0.277664E+02    0.138060E+01    0.256471E+02    0.380026E+01
  1987    0.148739E+04    0.000000E+00    0.159471E+05    0.766538E+04    0.119144E-01    0.161175E+03    0.713897E+03    0.916726E+02    0.475697E+02    0.854274E+01    0.157562E+02    0.722160E+01    0.545617E+02    0.266149E+02    0.295046E+01    0.256471E+02    0.380026E+01
  1988    0.131702E+04    0.000000E+00    0.154600E+05    0.743126E+04    0.119624E-01    0.182326E+03    0.900509E+03    0.114403E+03    0.553047E+02    0.315324E+01    0.187263E+02    0.858291E+01    0.566107E+02    0.279606E+02    0.169875E+01    0.256471E+02    0.380026E+01
  1989    0.157124E+04    0.000000E+00    0.155635E+05    0.748101E+04    0.110258E-01    0.160176E+03    0.949647E+03    0.124578E+03    0.656811E+02    0.851203E+01    0.202593E+02    0.928550E+01    0.580081E+02    0.281907E+02    0.145258E+01    0.256471E+02    0.380026E+01
  1990    0.123638E+04    0.000000E+00    0.159583E+05    0.767081E+04    0.115898E-01    0.165555E+03    0.836604E+03    0.106192E+03    0.562467E+02    0.286224E+01    0.168202E+02    0.770927E+01    0.563698E+02    0.279549E+02    0.267909E+01    0.256471E+02    0.380026E+01
  1991    0.145541E+04    0.000000E+00    0.160846E+05    0.773151E+04    0.112480E-01    0.143512E+03    0.713182E+03    0.933729E+02    0.424319E+02    0.338706E+01    0.167320E+02    0.766884E+01    0.572184E+02    0.279375E+02    0.337745E+01    0.256471E+02    0.380026E+01
  1992    0.129147E+04    0.000000E+00    0.158410E+05    0.761440E+04    0.121537E-01    0.161749E+03    0.851170E+03    0.112332E+03    0.515455E+02    0.563024E+01    0.195403E+02    0.895597E+01    0.563926E+02    0.275345E+02    0.263357E+01    0.256471E+02    0.380026E+01
  1993    0.148392E+04    0.000000E+00    0.158667E+05    0.762673E+04    0.122705E-01    0.164231E+03    0.705004E+03    0.875113E+02    0.460758E+02    0.478349E+01    0.145736E+02    0.667957E+01    0.533401E+02    0.257515E+02    0.340748E+01    0.256471E+02    0.380026E+01
  1994    0.133137E+04    0.000000E+00    0.161766E+05    0.777571E+04    0.108541E-01    0.164197E+03    0.752956E+03    0.959902E+02    0.453155E+02    0.493239E+01    0.159289E+02    0.730074E+01    0.594286E+02    0.285975E+02    0.212299E+01    0.256471E+02    0.380026E+01
  1995    0.184629E+04    0.000000E+00    0.156204E+05    0.750838E+04    0.112889E-01    0.156118E+03    0.881782E+03    0.117216E+03    0.569157E+02    0.435995E+01    0.191541E+02    0.877894E+01    0.574946E+02    0.279700E+02    0.179916E+01    0.256471E+02    0.380026E+01
  1996    0.147478E+04    0.000000E+00    0.160114E+05    0.769630E+04    0.119222E-01    0.163072E+03    0.891324E+03    0.109812E+03    0.585058E+02    0.420121E+01    0.180479E+02    0.827195E+01    0.573783E+02    0.280918E+02    0.174405E+01    0.256471E+02    0.380026E+01
  1997    0.181043E+04    0.000000E+00    0.159667E+05    0.767482E+04    0.113412E-01    0.156815E+03    0.668878E+03    0.820995E+02    0.424839E+02    0.801970E+01    0.155141E+02    0.711062E+01    0.558676E+02    0.274389E+02    0.221470E+01    0.256471E+02    0.380026E+01
  1998    0.201537E+04    0.000000E+00    0.157789E+05    0.758456E+04    0.127687E-01    0.180704E+03    0.863836E+03    0.101337E+03    0.423753E+02    0.309962E+01    0.187141E+02    0.857729E+01    0.558635E+02    0.274174E+02    0.148519E+01    0.256471E+02    0.380026E+01
  1999    0.166190E+04    0.000000E+00    0.155991E+05    0.749810E+04    0.108534E-01    0.151733E+03    0.912761E+03    0.119716E+03    0.623099E+02    0.836266E+01    0.198762E+02    0.910993E+01    0.574785E+02    0.283522E+02    0.161644E+01    0.256471E+02    0.380026E+01
  2000    0.176664E+04    0.000000E+00    0.155463E+05    0.747276E+04    0.106269E-01    0.175874E+03    0.914938E+03    0.122318E+03    0.632430E+02    0.318199E+01    0.197004E+02    0.902937E+01    0.591618E+02    0.289775E+02    0.161142E+01    0.256471E+02    0.380026E+01
